Content,Created by
"Alignment Unlocks Everything

When feasibility + direction + customer value are answered early, all three disciplines are energized",emma
"Culture is Made by Small Things

Cameras-on policy transformed engagement overnight
One person doing a daily icebreaker made one standup dramatically better than the other
Named teams (""The Custodians"" for tech debt) create identity and pride",emma
"""Care about the person first"" — learned the hard way that trying to prove yourself creates pushback",emma
"""Optimism solves more problems than anything""",emma
"Communication Is Key

As Product Managers drive business initiatives, communication is a common through-line for success. Clarity, aligning vision/strategy/execution & building trust with partners, accelerates how IC's and leads cross the finish line together as a team.",Christina
"Good collaboration
clear runway to work in a focused and iterative way, while getting air cover from leads and stakeholders who will know how to speak to the value of the work across the org.",Christina
PD teams are usually spread thin and work in agile/hybrid methods out of necessity,Christina
"Inefficient comms Can lead to mis-communication, or lower trust/transparency about how decisions get made,",Christina
"Slack is more informal / casual compared to Teams
",Roxanna Jackson
Slack as more customizable features with the emojis and different colors themes,Roxanna Jackson
Slack: Likes that they can show the time zone and can set up the status,Roxanna Jackson
Timezone related issue with teams in other cities,Roxanna Jackson
"Open, friendly, helping culture makes the work easier",
"Bad collaboration
survival mode, with competing business priorities, unclear engineering, product and design constraints.",Christina
Smaller team allows for transparent communication,Roxanna Jackson
Never hesitate to put your point on the table,
"Working cross-functionally, when do you jump in?
When physical things need to get made to test a hypothesis",Roxanna Jackson
"Working cross-functionally, when do you jump in?
Individual contributor with most projects started by me",Roxanna Jackson
"Working cross-functionally, when do you jump in?
Involves different stakeholders at each stage of a project",Roxanna Jackson
"Across The EPD Workflow

The normal: Business priorities always change, clarity is never spoon-fed, alignment is always forged collectively",Christina
Good EPD Collaboration =  less errors + more user interaction & returning customers.,
"Teams are either Product or Engineering-led depending on the area of the business they're at (across consumers, innovation, and enterprise work-streams)",Christina
Repeat & Follow-up,Shruti
Be firm on your decision,Shruti
"Ask right 
Questions",Shruti
"Tips/Tricks for Collaboration:
Repeating yourself until people remember what your goal is😅",Roxanna Jackson
"Tips/Tricks for Collaboration:
Proactively seeking feedback & involving people in the early stages",Roxanna Jackson
"Tips/Tricks for Collaboration:
Proactively seeking feedback & involving people in the early stages",Roxanna Jackson
"Tips/Tricks for Collaboration:
Proactively seeking feedback & involving people in the early stages",Roxanna Jackson
"Tips/Tricks for Collaboration:
Set up brief sync meetings often with only the necessary people",Roxanna Jackson
"Tips/Tricks for Collaboration:
Set clear expectations of exit criteria early on",Roxanna Jackson
"Tips/Tricks for Collaboration:
Culturally enforce psychological safety to try things",Roxanna Jackson
"Tips/Tricks for Collaboration:
Culturally enforce psychological safety to try things",Roxanna Jackson
"Tips/Tricks for Collaboration:
Communicate your intent to try said thing",Roxanna Jackson
"Tips/Tricks for Collaboration:
Communicate frequently on statuses",Roxanna Jackson
"Tips/Tricks for Collaboration:
Keep the meeting short and on the point.",Roxanna Jackson
"Tips/Tricks for Collaboration:
Recap the final decisions and to-do list before wrapping up",Roxanna Jackson
"Collaboration Accelerators
GTM strategy for internal work-streams tools to repair fragmentation, build community, and help adoption
",Christina
"Collaboration Accelerators
Tools to track a lineage of a product space cohesively: PRDs, GTM strategies, Prototypes, Roadmaps, Technical/Design Specs",Christina
"Small to mid-sized companies check-in across their EPD counterparts informally and often, working closely together to get a gut check on what everyone is up to to stay tightly aligned. There's also emphasis on team dynamics, culture and bonding, with more flexibility to grow into senior or adjacent roles longer term",Christina
"Large companies have endless channels of communication, with a tendency of siloed work that can fragment and disrupt opportunity to build centralized workflow practices if innovation is prioritized over long-term ecosystem health (tech debt, maintenance work, quality rubrics)",Christina
Cross-functional meetings help make decision-making faster and easier,
"AI
PM: Having agents and being able to prototype and code will mean having less headcount, but it also means less time wasted on communication to align and build trust",Christina
"AI
Engineering: Great for basic tasks, but can get concerning if a prototype is considered for production/implemented within a technical stack.  There’s no plug-and-play way to integrate a generated tool into a mature tech",Christina
"AI
Design: designer role is blurred when PM’s and Engineers can generate prototypes.  The tooling isn’t as good as it could be to replace designers outright, but it will definitely have companies pressure design to do more with less, as junior positions begin to fade.",Christina
"How do decisions get made?
Mix of inputs from all stakeholders and the limitations of the scope
",Roxanna Jackson
"How do decisions get made?
Product decides on the requirements, KPIs, and expectations.
",Roxanna Jackson
"How do decisions get made?
Driven by managers and senior RDs where we align on our KPIs",Roxanna Jackson
"How do decisions get made?
Designers design the feature and get it finalized by leadership.
",Roxanna Jackson
"How do decisions get made?
Engineering team decides on the technical implementation.
",Roxanna Jackson
"How do decisions get made?
As a UX designer, I make the most of decisions for the user flows and UI solutions. Then the team and clients will provide feedback and comments. I'll iterate the design based on that.",Roxanna Jackson
"How do decisions get made?
As a UX designer, I make the most of decisions for the user flows and UI solutions. Then the team and clients will provide feedback and comments. I'll iterate the design based on that.",Roxanna Jackson
More Cross-functional meetings = more visibility,Shruti
Welcoming and passionate people make up great teams.,
"Opportunity
Assumption Mapping Rituals at KO (design/constraints)",Christina
"Opportunity
Flag when the level of effort for a task is mis-matched across EPD documentation (design/eng constraints, user research/budget allocation)
Tool Feature with project phases that can only move fwd if all EPD roles sign off on crucial milestones",Christina
"Opportunity
Automated digest that shows important highlights that affect their work vs. drinking from a firehose
Weekly context sync on 1 thing that moved the needle that others should know about",Christina
"How do decisions get made?
Leadership reviews or by Product/Eng leads",Christina
"Surfacing Assumptions & Alignment

*Everyone Mentioned this across 5 interviews",Christina
"Early Cross-Functional Input

*Design an intervention vs treat the symptom. Prevent the “throwing over the wall” mental model as a core EPD dysfuntion",Christina
"Information Overload & Context Chasing

*It drowns ppl in big corps, and still eats away at their time in smaller shops. The problem is constant, and scales with the role + org size.",Christina
Greater the Emotional Quotient healthier is the work culture,
"PMs don't use AI at all  ""they seem scared of it""",emma
Engineers are scattered — company provides Copilot but <10% use it; most prefer ChatGPT; trialing Claude Code; Chase is pushing for Amazon's Kira,emma
Final decision is made without affecting the user experience and business metrics.,
Frustration in terms of feedback loop due to global team and different time zones,
Tend to incline working towards people who challenge the thinking process,
Changing requirements during the development phase causes friction and confusion.,
"Biggest Challenge: Scope of our technical problems need direction often from the business side, even if the technical feasibility/design can be done. It’s not designing things well, but designing what.",Roxanna Jackson
A Designer with strong perspective and asking the question”Is it really necessary?” bridges the gap between all the teams and in turn benefits the workflow and user engagement,
"As a PM you need to keep repeating your projects to get better insights on the purpose, end goal, the WHY.",
"Biggest Challenge: Language barriers
",Roxanna Jackson
Biggest Challenge: Cross time-zone collaboration,Roxanna Jackson
Too. Many. Meetings.,Christina
Running too fast without coordinated planning across business verticals.,Christina
Ego over long-term success.,Christina
"Quantity vs Quality
Surface business metrics over shipping high quality work.",Christina
Having a discussion instead of presentation makes life easier for a PM,
"Biggest Challenge: When requirements and designs changed
",Roxanna Jackson
"Biggest Challenge: 
Lack of design requirements is the biggest one
",
Wish there could be a solution to long feedback process: reply from leader-translate data to web team and design team-again check with leader...,Shruti
"Biggest Challenge: 
Too many chats/emails/meetings; different timezones; not everyone co-located",Christina
Agentic-based AI workflow will flatten a lot of communication problems: it'll replace jobs but also free up time for decision-makers leading company priorities,Christina
Distribute decision-making to partners who know their stuff while course-correcting where it counts,Christina
Automate things to spend more time doing the work only you can do that brings unique value to the success of the org,Christina
"The higher you fly, the more projects you have, and the more ambitious your company, it will be harder to avoid lots of meetings.",Christina
"Biggest Challenge: 
Hard to take notes of the ideas got shifted multi times",Roxanna Jackson
"Biggest Challenge: 
Hard to summarize and track the meeting decisions.",Roxanna Jackson
Too many meetings instead of focus time for coding and thinking.,Shruti
"EVERYONE is being asked to do more with less people, and still spends a bulk of their time in communication channels to get aligned, stay informed, and have visibility across design initiatives within their org to avoid siloed work",Christina
"Biggest Challenge: 
Product Managers are not the decision makers. They just hop from one call to another, and do not pushback on business requirements. No data used to back any execution decisions.
",Roxanna Jackson
"Biggest Challenge: 
Collaborating with other product teams
",
Friction comes from the engineering-led leaders not knowing how to enter a new market & are stuck on engineering details.,Shruti
Long wait time to get reply from leaders,Shruti
"Seniority vs. Impact
If someone is working at the company for a longer time they have unsaid advantage in decision-making even if it does not align.",Shruti
Be a good person,Roxanna Jackson
"Open, friendly, helping culture makes the work easier",
Welcoming and passionate people make up great teams.,
Greater the Emotional Quotient healthier is the work culture,
Tend to incline working towards people who challenge the thinking process,
"Good collaboration
clear runway to work in a focused and iterative way, while getting air cover from leads and stakeholders who will know how to speak to the value of the work across the org.",Christina
"Tips/Tricks for Collaboration:
If it's a PM-driven pod, you should ask early about how the PM prefers to work with PD, and if you're not aligned with their POV, explain why",
Ask for optimizations to the ways of working that help you contribute to the process where you think your role is critical.,
"Explain why you think that's critical, not in a combative way, but in a way that offers a POV for how you think you can make the overall work better, and also improve the overall working dynamic.",
Distribute decision-making to partners who know their stuff while course-correcting where it counts,Christina
"Tips/Tricks for Collaboration:
Proactively seeking feedback & involving people in the early stages",Roxanna Jackson
"Tips/Tricks for Collaboration:
Investing more time into quarterly planning to get feedback, build trust with stakeholders & tackle tech-debt and maintenance work",
"Tips/Tricks for Collaboration:
use AI to summarize info",
"Tips/Tricks for Collaboration:
Giving feedback and calling out issues early",Christina
"Tips/Tricks for Collaboration:
Building high trust; shared goals and deadlines.",Christina
"Potential problem statement: EPD teams lack a shared source of truth that evolves with the project, forcing them to rely on meetings and tribal knowledge to stay aligned, which breaks down across time zones, seniority gaps, and shifting requirements.",emma
Company: Software Solutions Integrated,Roxanna Jackson
Company: PingCAP,Roxanna Jackson
Company: Indeed,Roxanna Jackson
Company: TikTok,Roxanna Jackson
Company: Water from Air (Idealab),Roxanna Jackson
Company: Field AI,Roxanna Jackson
"Company:
Walmart",Roxanna Jackson
"Company:
SAP",
"Company:
Meta",
"Company:
Lovevery",
"Company:
Meta",
"Company:
Netflix",
"Company:
Meta",Christina
"2. Consumer: Habit Tracking App with Social Features
Why: Simple core concept, rich interaction design opportunities, viral growth potential, clear user metrics
EPD Challenges:
Designers focus on delightful micro-interactions
Engineers handle real-time sync and notifications
PMs decide on gamification vs. simplicity",Shruti